"No","Name","Price","Quantity"
219,"มะม่วงเขียวเสวย ขนาดเล็ก ดิบ","35-40",""
220,"แอปเปิลเอนวี่ เบอร์ 28","500-550","กล่อง"
221,"แอปเปิลแจ๊ส เบอร์ 120","1250-1350","กล่อง"
222,"ชมพู่ทับทิมจันทร์ – เบอร์กลาง","80-90","กิโลกรัม"
223,"ฝรั่งกิมจู – เบอร์กลาง","53-55","กิโลกรัม"
224,"ชมพู่ทับทิมจันทร์ – เบอร์ใหญ่","130-150","กิโลกรัม"
225,"พุทราซุปเปอร์ – เบอร์กลาง","30-35","กิโลกรัม"
226,"พุทราซุปเปอร์ – เบอร์ใหญ่","40-45",""
227,"ฝรั่งกิมจู – เบอร์ใหญ่","58-62","กิโลกรัม"
228,"ฝรั่งแป้นสีทอง ขนาดเล็ก","28-30","กิโลกรัม"
